chr	tss	strand	gene_name	gene_id
chr1	221966409	+	LINC02474	LINC02474
chr4	44016860	+	LINC02475	LINC02475
chr7	119907375	-	LINC02476	LINC02476
chr2	160271895	-	LINC02478	LINC02478
chr4	130376360	+	LINC02479	LINC02479
chr4	52044804	+	LINC02480	LINC02480
chr4	6690519	-	LINC02481	LINC02481
chr4	6673881	-	LINC02482	LINC02482
chr4	75354075	+	LINC02483	LINC02483
chr4	34269747	-	LINC02484	LINC02484
chr4	135123559	-	LINC02485	LINC02485
chr6	167683787	-	LINC02487	LINC02487
chr5	87662041	+	LINC02488	LINC02488
chr15	53116364	+	LINC02490	LINC02490
chr4	187672641	-	LINC02492	LINC02492
chr4	17186057	-	LINC02493	LINC02493
chr4	58536328	-	LINC02494	LINC02494
chr4	6200732	+	LINC02495	LINC02495
chr4	31171143	+	LINC02497	LINC02497
chr4	73508802	+	LINC02499	LINC02499
chr4	181265029	-	LINC02500	LINC02500
chr4	31506543	+	LINC02501	LINC02501
chr4	119939539	+	LINC02502	LINC02502
chr4	36641900	-	LINC02505	LINC02505
chr4	31997378	+	LINC02506	LINC02506
chr4	188776656	+	LINC02508	LINC02508
chr4	176875701	+	LINC02509	LINC02509
chr4	137193755	+	LINC02510	LINC02510
chr4	137212799	-	LINC02511	LINC02511
chr4	38366913	+	LINC02513	LINC02513
chr4	187370647	+	LINC02514	LINC02514
chr4	124558434	-	LINC02516	LINC02516
chr4	8320175	+	LINC02517	LINC02517
chr6	113433447	-	LINC02518	LINC02518
chr6	37507347	+	LINC02520	LINC02520
chr6	2634499	+	LINC02521	LINC02521
chr6	125674352	+	LINC02523	LINC02523
chr6	3195767	-	LINC02525	LINC02525
chr6	106695484	+	LINC02526	LINC02526
chr6	111909397	-	LINC02527	LINC02527
chr6	137945800	-	LINC02528	LINC02528
chr6	159383530	+	LINC02529	LINC02529
chr6	12585404	-	LINC02530	LINC02530
chr6	106787541	-	LINC02532	LINC02532
chr6	4488797	+	LINC02533	LINC02533
chr6	115643835	-	LINC02534	LINC02534
chr6	85390186	-	LINC02535	LINC02535
chr6	43852333	-	LINC02537	LINC02537
chr6	167679223	-	LINC02538	LINC02538
chr6	137739037	-	LINC02539	LINC02539
chr6	76593623	-	LINC02540	LINC02540
chr6	113650075	-	LINC02541	LINC02541
chr6	81933480	-	LINC02542	LINC02542
chr6	169182740	-	LINC02544	LINC02544
chr11	13870616	-	LINC02545	LINC02545
chr11	29594412	+	LINC02546	LINC02546
chr11	12030874	+	LINC02547	LINC02547
chr11	13784385	+	LINC02548	LINC02548
chr6	68329899	-	LINC02549	LINC02549
chr11	111097318	-	LINC02550	LINC02550
chr11	130862110	-	LINC02551	LINC02551
chr11	104609302	-	LINC02552	LINC02552
chr22	27310650	+	LINC02554	LINC02554
chr22	23326615	+	LINC02556	LINC02556
chr22	31970822	+	LINC02558	LINC02558
chr19	58400202	+	LINC02560	LINC02560
chr10	5271236	-	LINC02561	LINC02561
chr4	75084708	-	LINC02562	LINC02562
chr17	65457540	+	LINC02563	LINC02563
chr10	11206	+	LINC02564	LINC02564
chr18	57171194	-	LINC02565	LINC02565
chr1	76779267	-	LINC02567	LINC02567
chr15	63390229	+	LINC02568	LINC02568
chr6	30516265	+	LINC02569	LINC02569
chr6	30848159	-	LINC02570	LINC02570
chr6	31301637	-	LINC02571	LINC02571
chr2	129877491	-	LINC02572	LINC02572
chr21	20258685	-	LINC02573	LINC02573
chr1	27662722	-	LINC02574	LINC02574
chr21	44485570	+	LINC02575	LINC02575
chr9	118679670	+	LINC02578	LINC02578
chr2	64607311	+	LINC02579	LINC02579
chr2	43102445	-	LINC02580	LINC02580
chr18	73324940	+	LINC02582	LINC02582
chr2	46429189	+	LINC02583	LINC02583
chr11	70075348	-	LINC02584	LINC02584
chr3	48663767	+	LINC02585	LINC02585
chr1	110209987	-	LINC02586	LINC02586
chr7	15688377	+	LINC02587	LINC02587
chr14	26598646	+	LINC02588	LINC02588
chrX	103554953	-	LINC02589	LINC02589
chr1	143792494	+	LINC02591	LINC02591
chr1	919692	-	LINC02593	LINC02593
chrX	45851490	-	LINC02595	LINC02595
chrX	41275738	+	LINC02601	LINC02601
chr9	94204566	-	LINC02603	LINC02603
chr7	66904119	+	LINC02604	LINC02604
chr8	78837528	+	LINC02605	LINC02605
chr1	9428916	-	LINC02606	LINC02606
chr1	95510115	+	LINC02607	LINC02607
chr1	212234736	-	LINC02608	LINC02608
chr1	90836161	-	LINC02609	LINC02609
chr2	238231677	-	LINC02610	LINC02610
chr2	98771898	-	LINC02611	LINC02611
chr2	150628896	+	LINC02612	LINC02612
chr2	38515740	-	LINC02613	LINC02613
chr3	125886077	-	LINC02614	LINC02614
chr4	128428015	+	LINC02615	LINC02615
chr4	37001778	+	LINC02616	LINC02616
chr12	10338292	-	LINC02617	LINC02617
chr3	141663198	+	LINC02618	LINC02618
chr4	58988154	-	LINC02619	LINC02619
chr10	104480275	-	LINC02620	LINC02620
chr10	70939052	+	LINC02622	LINC02622
chr10	42871520	+	LINC02623	LINC02623
chr10	106140164	+	LINC02624	LINC02624
chr10	114994656	+	LINC02626	LINC02626
chr10	105820333	-	LINC02627	LINC02627
chr10	3833949	+	LINC02639	LINC02639
chr10	21372950	-	LINC02643	LINC02643
chr10	30723218	+	LINC02644	LINC02644
chr10	2501462	-	LINC02645	LINC02645
chr10	85432772	-	LINC02647	LINC02647
chr10	6618715	+	LINC02648	LINC02648
chr10	6326543	+	LINC02649	LINC02649
chr10	83677089	-	LINC02650	LINC02650
chr10	28495813	-	LINC02652	LINC02652
chr10	90540805	-	LINC02653	LINC02653
chr10	80649796	+	LINC02655	LINC02655
chr10	6350315	+	LINC02656	LINC02656
chr10	43778825	-	LINC02658	LINC02658
chr10	31187882	+	LINC02664	LINC02664
chr10	128912832	+	LINC02667	LINC02667
chr10	3502838	-	LINC02669	LINC02669
chr10	10058721	+	LINC02670	LINC02670
chr10	64924518	-	LINC02671	LINC02671
chr10	8897988	+	LINC02676	LINC02676
chr10	79663185	-	LINC02679	LINC02679
chr10	101263550	-	LINC02681	LINC02681
chr11	13924863	-	LINC02683	LINC02683
chr11	44973901	+	LINC02685	LINC02685
chr11	45371396	+	LINC02687	LINC02687
chr11	1049879	+	LINC02688	LINC02688
chr14	104223583	+	LINC02691	LINC02691
chr9	136969411	+	LINC02692	LINC02692
chr17	21551678	-	LINC02693	LINC02693
chr15	38696597	+	LINC02694	LINC02694
chr11	45355370	+	LINC02696	LINC02696
chr11	116639421	+	LINC02702	LINC02702
chr11	9759533	-	LINC02709	LINC02709
chr11	87719411	-	LINC02711	LINC02711
chr11	127271069	+	LINC02712	LINC02712
chr11	134735944	+	LINC02714	LINC02714
chr11	45771431	+	LINC02716	LINC02716
chr11	106132116	-	LINC02719	LINC02719
chr11	80762803	-	LINC02720	LINC02720
chr11	64449056	+	LINC02724	LINC02724
chr11	78429836	-	LINC02728	LINC02728
chr11	17696939	-	LINC02729	LINC02729
chr11	134032271	+	LINC02731	LINC02731
chr11	110355113	+	LINC02732	LINC02732
chr11	56848477	+	LINC02735	LINC02735
chr11	96508424	+	LINC02737	LINC02737
chr11	42253690	-	LINC02740	LINC02740
chr11	133810376	-	LINC02743	LINC02743
chr11	42085458	-	LINC02745	LINC02745
chr11	92915628	-	LINC02746	LINC02746
chr11	4187151	+	LINC02749	LINC02749
chr11	15552772	+	LINC02751	LINC02751
chr11	70063924	-	LINC02753	LINC02753
chr11	38646356	-	LINC02759	LINC02759
chr11	37938600	+	LINC02760	LINC02760
chr11	112270748	+	LINC02762	LINC02762
chr11	112482231	+	LINC02763	LINC02763
chr11	112555802	-	LINC02764	LINC02764
chr1	207958990	+	LINC02767	LINC02767
chr1	243917401	+	LINC02774	LINC02774
chr1	17189788	+	LINC02783	LINC02783
chr1	199148597	+	LINC02789	LINC02789
chr1	95992067	+	LINC02790	LINC02790
chr1	24200239	+	LINC02800	LINC02800
chr1	87212668	+	LINC02801	LINC02801
chr1	148162709	+	LINC02805	LINC02805
chr1	228076550	-	LINC02809	LINC02809
chr1	221336296	-	LINC02817	LINC02817
chr12	126449327	-	LINC02825	LINC02825
chr7	26637870	+	LINC02860	LINC02860
chr16	3950444	-	LINC02861	LINC02861
chr18	73264498	-	LINC02864	LINC02864
chr16	679777	-	LINC02867	LINC02867
chr1	116694111	+	LINC02868	LINC02868
chr1	218510094	+	LINC02869	LINC02869
chr10	132445188	+	LINC02870	LINC02870
chr20	11026543	+	LINC02871	LINC02871
chr9	87148643	+	LINC02872	LINC02872
chr11	130672955	+	LINC02873	LINC02873
chr12	52210830	-	LINC02874	LINC02874
chr17	61411750	+	LINC02875	LINC02875
chr17	52985504	+	LINC02876	LINC02876
chr3	153484494	+	LINC02877	LINC02877
chr8	143697114	+	LINC02878	LINC02878
chr6	113904386	+	LINC02880	LINC02880
chr10	44292749	+	LINC02881	LINC02881
chr12	74292631	-	LINC02882	LINC02882
chr15	85758725	-	LINC02883	LINC02883
chr22	34997916	-	LINC02885	LINC02885
chr7	17374916	+	LINC02888	LINC02888
chr7	17558909	-	LINC02889	LINC02889
chr5	115956570	+	LINCADL	LINCADL
chr6	52151023	-	LINCMD1	LINCMD1
chr8	10474564	+	LINCR-0001	LINCR-0001
chr3	191425523	+	LINCR-0002	LINCR-0002
chr5	57570341	+	LINCR-0003	LINCR-0003
chr15	77632912	-	LINGO1	LINGO1
chr15	77641763	+	LINGO1-AS1	LINGO1-AS1
chr15	77660050	+	LINGO1-AS2	LINGO1-AS2
chr9	28719305	-	LINGO2	LINGO2
chr19	2308154	-	LINGO3	LINGO3
chr1	151805419	-	LINGO4	LINGO4
chr10	6737381	+	LINP1	LINP1
chr15	100602184	-	LINS1	LINS1
chr10	89251775	-	LIPA	LIPA
chr15	58431990	+	LIPC	LIPC
chr15	58498735	-	LIPC-AS1	LIPC-AS1
chr19	42427388	-	LIPE	LIPE
chr19	42397147	+	LIPE-AS1	LIPE-AS1
chr10	88664441	+	LIPF	LIPF
chr18	49562056	+	LIPG	LIPG
chr3	185552588	-	LIPH	LIPH
chr21	14206949	-	LIPI	LIPI
chr10	88586761	+	LIPJ	LIPJ
chr10	88706248	+	LIPK	LIPK
chr10	88802729	+	LIPM	LIPM
chr10	88760019	+	LIPN	LIPN
chr2	99154966	+	LIPT1	LIPT1
chr11	74493724	-	LIPT2	LIPT2
chr16	11586373	-	LITAF	LITAF
chr18	70338180	-	LIVAR	LIVAR
chr5	97142611	-	LIX1	LIX1
chr1	145958017	-	LIX1L	LIX1L
chr1	145926830	+	LIX1L-AS1	LIX1L-AS1
chr20	64084359	-	LKAAEAR1	LKAAEAR1
chr22	36965247	+	LL22NC01-81G9.3	LL22NC01-81G9.3
chr22	22559342	+	LL22NC03-63E9.3	LL22NC03-63E9.3
chr7	142939483	+	LLCFC1	LLCFC1
chr17	18225634	+	LLGL1	LLGL1
chr17	75525696	+	LLGL2	LLGL2
chr12	66130750	-	LLPH	LLPH
chr12	66130750	+	LLPH-DT	LLPH-DT
chr18	59359265	-	LMAN1	LMAN1
chr15	74812834	+	LMAN1L	LMAN1L
chr5	177351668	-	LMAN2	LMAN2
chr2	96740064	-	LMAN2L	LMAN2L
chr7	156893183	-	LMBR1	LMBR1
chr12	49110900	-	LMBR1L	LMBR1L
chr6	69796466	-	LMBRD1	LMBRD1
chr5	36151887	-	LMBRD2	LMBRD2
chr3	8501806	+	LMCD1	LMCD1
chr3	8501658	-	LMCD1-AS1	LMCD1-AS1
chr16	970984	-	LMF1	LMF1
chr16	921032	+	LMF1-AS1	LMF1-AS1
chr22	50507702	-	LMF2	LMF2
chr3	197960199	+	LMLN	LMLN
chr3	198039467	-	LMLN-AS1	LMLN-AS1
chr14	23104989	-	LMLN2	LMLN2
chr1	156082572	+	LMNA	LMNA
chr5	126776622	+	LMNB1	LMNB1
chr5	126776486	-	LMNB1-DT	LMNB1-DT
chr19	2456959	-	LMNB2	LMNB2
chr12	25553283	-	LMNTD1	LMNTD1
chr11	560738	-	LMNTD2	LMNTD2
chr11	559261	+	LMNTD2-AS1	LMNTD2-AS1
chr11	8263878	-	LMO1	LMO1
chr11	33869878	-	LMO2	LMO2
chr12	16605379	-	LMO3	LMO3
chr1	87328879	+	LMO4	LMO4
chr13	75620433	+	LMO7	LMO7
chr13	75635994	-	LMO7-AS1	LMO7-AS1
chr13	75871037	+	LMO7DN	LMO7DN
chr13	75876885	+	LMO7DN-IT1	LMO7DN-IT1
chr1	201946548	-	LMOD1	LMOD1
chr7	123655865	+	LMOD2	LMOD2
chr3	69122595	-	LMOD3	LMOD3
chr7	98106861	+	LMTK2	LMTK2
chr19	48513189	-	LMTK3	LMTK3
chr1	165356241	-	LMX1A	LMX1A
chr9	126613927	+	LMX1B	LMX1B
chr6	19804759	-	LNC-LBCS	LNC-LBCS
chr10	52455272	-	LNCAROD	LNCAROD
chr6	166168096	+	LNCDAT	LNCDAT
chr20	22607517	-	LNCNEF	LNCNEF
chr8	142726973	-	LNCOC1	LNCOC1
chr12	76259882	+	LNCOG	LNCOG
chr7	101299612	+	LNCPRESS1	LNCPRESS1
chr4	92277302	-	LNCPRESS2	LNCPRESS2
chr14	19126529	+	LNCRNA-ATB	LNCRNA-ATB
chr3	146069185	-	LNCSRLR	LNCSRLR
chr1	9182203	+	LNCTAM34A	LNCTAM34A
chr3	100401538	+	LNP1	LNP1
chr5	96936079	+	LNPEP	LNPEP
chr2	176002267	-	LNPK	LNPK
chr4	53558269	-	LNX1	LNX1
chr4	53500076	+	LNX1-AS1	LNX1-AS1
chr4	53592955	+	LNX1-AS2	LNX1-AS2
chr13	27620529	-	LNX2	LNX2
chr7	72969681	+	LOC100101148	LOC100101148
chrX	116817860	-	LOC100126447	LOC100126447
chr6	125197817	-	LOC100126584	LOC100126584
chr11	19714672	-	LOC100126784	LOC100126784
chr17	12790284	-	LOC100128006	LOC100128006
chr5	170312716	-	LOC100128059	LOC100128059
chr9	92132833	+	LOC100128076	LOC100128076
chr16	27719029	-	LOC100128079	LOC100128079
chr15	101745738	-	LOC100128108	LOC100128108
chr3	169966734	-	LOC100128164	LOC100128164
chr12	3366122	-	LOC100128253	LOC100128253
chr12	128853095	-	LOC100128276	LOC100128276
chr17	8360541	-	LOC100128288	LOC100128288
chr20	61719748	-	LOC100128310	LOC100128310
chr7	81626216	-	LOC100128317	LOC100128317
chr7	130141730	+	LOC100128325	LOC100128325
chr5	177939526	+	LOC100128340	LOC100128340
chr9	92618049	+	LOC100128361	LOC100128361
chr19	58002893	+	LOC100128398	LOC100128398
chr11	72014290	+	LOC100128494	LOC100128494
chr19	5978402	+	LOC100128568	LOC100128568
chr9	136746160	+	LOC100128593	LOC100128593
chr7	1534880	-	LOC100128653	LOC100128653
chr16	3032480	+	LOC100128770	LOC100128770
chr16	88531053	-	LOC100128882	LOC100128882
chr7	64574694	+	LOC100128885	LOC100128885
chr5	138332104	+	LOC100128966	LOC100128966
chr20	40980712	+	LOC100128988	LOC100128988
chr8	19245522	-	LOC100128993	LOC100128993
chr9	124353472	+	LOC100129034	LOC100129034
chr8	11347516	-	LOC100129129	LOC100129129
chr1	104073022	+	LOC100129138	LOC100129138
chr7	139427526	-	LOC100129148	LOC100129148
chr2	219002214	+	LOC100129175	LOC100129175
chr11	95230185	+	LOC100129203	LOC100129203
chrX	71666868	-	LOC100129291	LOC100129291
chr13	77662803	-	LOC100129307	LOC100129307
chr9	91075132	-	LOC100129316	LOC100129316
chr2	56185770	-	LOC100129434	LOC100129434
chr7	5428927	-	LOC100129484	LOC100129484
chr1	2352661	-	LOC100129534	LOC100129534
chr15	78978888	+	LOC100129540	LOC100129540
chr7	3158573	-	LOC100129603	LOC100129603
chr16	81665353	+	LOC100129617	LOC100129617
chr1	99004275	+	LOC100129620	LOC100129620
chr6	29036020	+	LOC100129636	LOC100129636
chr16	88939270	+	LOC100129697	LOC100129697
chr18	49023702	+	LOC100129878	LOC100129878
chr4	781848	-	LOC100129917	LOC100129917
chr4	7046231	-	LOC100129931	LOC100129931
chr19	39638684	+	LOC100129935	LOC100129935
chr8	144827040	-	LOC100130027	LOC100130027
chr12	68805494	-	LOC100130075	LOC100130075
chr15	29674934	+	LOC100130111	LOC100130111
chr5	138032773	+	LOC100130172	LOC100130172
chr3	3800875	-	LOC100130207	LOC100130207
chr12	132275390	+	LOC100130238	LOC100130238
chr12	75234739	+	LOC100130268	LOC100130268
chr16	8849468	+	LOC100130283	LOC100130283
chr8	60967748	-	LOC100130298	LOC100130298
chr1	237862174	+	LOC100130331	LOC100130331
chr6	13283442	-	LOC100130357	LOC100130357
chr17	81385125	-	LOC100130370	LOC100130370
chr20	36155760	-	LOC100130373	LOC100130373
chr2	240456700	-	LOC100130449	LOC100130449
chr2	196713012	-	LOC100130452	LOC100130452
chr17	74567343	-	LOC100130520	LOC100130520
chr9	134054289	+	LOC100130548	LOC100130548
chr20	63359987	+	LOC100130587	LOC100130587
chr7	32458494	-	LOC100130673	LOC100130673
chr2	177392691	-	LOC100130691	LOC100130691
chr10	80247757	+	LOC100130698	LOC100130698
chr5	14712693	+	LOC100130744	LOC100130744
chr7	56882146	-	LOC100130849	LOC100130849
chr4	1208962	-	LOC100130872	LOC100130872
chr17	5192006	+	LOC100130950	LOC100130950
chr8	39563111	+	LOC100130964	LOC100130964
chr11	67317838	+	LOC100130987	LOC100130987
chr10	22252071	+	LOC100130992	LOC100130992
chr1	152080924	-	LOC100131107	LOC100131107
chr7	7096786	-	LOC100131257	LOC100131257
chr6	27761743	+	LOC100131289	LOC100131289
chr15	32718865	-	LOC100131315	LOC100131315
chr7	10702675	+	LOC100131472	LOC100131472
chr20	47318501	+	LOC100131496	LOC100131496
chr6	169962622	+	LOC100131532	LOC100131532
chr11	118418815	-	LOC100131626	LOC100131626
chr3	187702365	+	LOC100131635	LOC100131635
chr1	495445	-	LOC100132062	LOC100132062
chr9	94332475	+	LOC100132077	LOC100132077
chr11	111418186	-	LOC100132078	LOC100132078
chr15	28358181	-	LOC100132202	LOC100132202
chr2	63047711	-	LOC100132215	LOC100132215
chr9	62838346	-	LOC100132249	LOC100132249
chr1	495445	-	LOC100132287	LOC100132287
chr5	43066971	-	LOC100132356	LOC100132356
chr11	112260264	+	LOC100132686	LOC100132686
chrX	71697195	+	LOC100132741	LOC100132741
chr9	96868899	+	LOC100132781	LOC100132781
chr8	109644128	+	LOC100132813	LOC100132813
chr5	100388254	-	LOC100133050	LOC100133050
chr9	137892570	-	LOC100133077	LOC100133077
chr7	76549340	+	LOC100133091	LOC100133091
chr21	36126640	-	LOC100133286	LOC100133286
chr11	71928459	-	LOC100133315	LOC100133315
chr2	94587183	-	LOC100133920	LOC100133920
chr7	150041354	+	LOC100134040	LOC100134040
chr19	36311342	+	LOC100134317	LOC100134317
chr16	382240	+	LOC100134368	LOC100134368
chr17	73737853	+	LOC100134391	LOC100134391
chr20	26009798	+	LOC100134868	LOC100134868
chr2	154457438	-	LOC100144595	LOC100144595
chr16	15388911	-	LOC100190986	LOC100190986
chr18	8367034	-	LOC100192426	LOC100192426
chr7	56483319	-	LOC100240728	LOC100240728
chr12	54102208	+	LOC100240734	LOC100240734
chr12	54081823	-	LOC100240735	LOC100240735
chr5	172958775	-	LOC100268168	LOC100268168
chr6	27020306	-	LOC100270746	LOC100270746
chr9	130579494	-	LOC100272217	LOC100272217
chr7	155382075	+	LOC100286906	LOC100286906
chr2	233755345	-	LOC100286922	LOC100286922
chr2	104408332	-	LOC100287010	LOC100287010
chr8	6406548	-	LOC100287015	LOC100287015
chr16	89320451	+	LOC100287036	LOC100287036
chr17	75271298	+	LOC100287042	LOC100287042
chr1	160261748	+	LOC100287049	LOC100287049
chr17	20712445	+	LOC100287072	LOC100287072
chr16	636951	+	LOC100287175	LOC100287175
chr6	31572703	-	LOC100287329	LOC100287329
chr2	238847907	-	LOC100287387	LOC100287387
chr6	116371719	-	LOC100287467	LOC100287467
chr7	63349069	+	LOC100287704	LOC100287704
chr20	37676909	+	LOC100287792	LOC100287792
chr17	38749033	+	LOC100287808	LOC100287808
chr7	63349069	+	LOC100287834	LOC100287834
chr11	73309361	-	LOC100287837	LOC100287837
chr8	47189306	+	LOC100287846	LOC100287846
chr11	74493384	+	LOC100287896	LOC100287896
chr12	106774831	-	LOC100287944	LOC100287944
chr1	778634	-	LOC100288069	LOC100288069
chr19	1822088	+	LOC100288123	LOC100288123
chr16	14927283	-	LOC100288162	LOC100288162
chr1	1059733	+	LOC100288175	LOC100288175
chr15	30471168	+	LOC100288203	LOC100288203
chr13	74419115	-	LOC100288208	LOC100288208
chr5	172285596	+	LOC100288254	LOC100288254
chr2	109947689	+	LOC100288570	LOC100288570
chr15	30646114	+	LOC100288637	LOC100288637
chr17	3176935	-	LOC100288728	LOC100288728
chr8	94639467	-	LOC100288748	LOC100288748
chr12	46383675	+	LOC100288798	LOC100288798
chr14	39267061	-	LOC100288846	LOC100288846
chr17	49574064	-	LOC100288866	LOC100288866
chr5	98929133	+	LOC100289230	LOC100289230
chr19	12195014	+	LOC100289333	LOC100289333
chr3	143001467	-	LOC100289361	LOC100289361
chr20	1779746	-	LOC100289473	LOC100289473
chr6	166342630	+	LOC100289495	LOC100289495
chr14	69767713	-	LOC100289511	LOC100289511
chr7	102363882	+	LOC100289561	LOC100289561
chr16	88731179	+	LOC100289580	LOC100289580
chr15	28788242	+	LOC100289656	LOC100289656
chr6	32894175	+	LOC100294145	LOC100294145
chr5	65945573	-	LOC100303749	LOC100303749
chr8	143558271	-	LOC100310756	LOC100310756
chr12	49389173	+	LOC100335030	LOC100335030
chr19	44113183	-	LOC100379224	LOC100379224
chr4	153640167	+	LOC100419170	LOC100419170
chr15	44728987	+	LOC100419583	LOC100419583
chr19	28727694	-	LOC100420587	LOC100420587
chr10	14838305	+	LOC100421372	LOC100421372
chrX	55280087	+	LOC100421746	LOC100421746
chr1	163423191	-	LOC100422212	LOC100422212
chr15	51924120	-	LOC100422556	LOC100422556
chr6	3231402	+	LOC100422781	LOC100422781
chr2	113979984	-	LOC100499194	LOC100499194
chr10	22437929	-	LOC100499489	LOC100499489
chr8	59119209	+	LOC100505501	LOC100505501
chr10	31399755	-	LOC100505502	LOC100505502
chr18	57630330	+	LOC100505549	LOC100505549
chr19	9793180	-	LOC100505555	LOC100505555
chr19	41928819	+	LOC100505585	LOC100505585
chr9	124009396	-	LOC100505588	LOC100505588
chr19	42132628	+	LOC100505622	LOC100505622
chr19	43901803	-	LOC100505715	LOC100505715
chr2	28310459	-	LOC100505716	LOC100505716
chr2	28206961	-	LOC100505736	LOC100505736
chr2	28736205	-	LOC100505774	LOC100505774
chr17	41402415	+	LOC100505782	LOC100505782
chr18	72868387	+	LOC100505797	LOC100505797
chr5	122160175	+	LOC100505841	LOC100505841
chr19	23957953	-	LOC100505851	LOC100505851
chr4	22339666	-	LOC100505912	LOC100505912
chr16	15094410	+	LOC100505915	LOC100505915
chr1	168422656	-	LOC100505918	LOC100505918
chr7	8262224	+	LOC100505938	LOC100505938
chr16	67528745	-	LOC100505942	LOC100505942
chr12	106684700	-	LOC100505978	LOC100505978
chr13	112160710	-	LOC100506016	LOC100506016
chr1	173477155	-	LOC100506023	LOC100506023
chr14	30889808	-	LOC100506071	LOC100506071
chr2	97278716	+	LOC100506076	LOC100506076
chr16	70346747	-	LOC100506083	LOC100506083
chr7	20217576	+	LOC100506098	LOC100506098
chr9	128724461	+	LOC100506100	LOC100506100
chr2	97283934	+	LOC100506123	LOC100506123
chr2	165871941	-	LOC100506124	LOC100506124
chr7	22563336	+	LOC100506178	LOC100506178
chr6	57263346	-	LOC100506188	LOC100506188
chr6	8435622	+	LOC100506207	LOC100506207
chr11	7465835	-	LOC100506258	LOC100506258
chr22	37354839	-	LOC100506271	LOC100506271
chr2	7421260	+	LOC100506274	LOC100506274
chr16	75226382	+	LOC100506281	LOC100506281
chr11	83193669	-	LOC100506282	LOC100506282
chr7	155644406	-	LOC100506302	LOC100506302
chr14	65089917	+	LOC100506321	LOC100506321
chr14	69811759	+	LOC100506358	LOC100506358
chr17	331518	+	LOC100506388	LOC100506388
chr21	35580764	-	LOC100506403	LOC100506403
chr5	35938800	+	LOC100506406	LOC100506406
chr9	26066674	+	LOC100506422	LOC100506422
chr4	53695900	+	LOC100506444	LOC100506444
chr22	39432159	+	LOC100506472	LOC100506472
chr2	13007013	-	LOC100506474	LOC100506474
chr14	73787359	+	LOC100506476	LOC100506476
chr7	28979966	+	LOC100506497	LOC100506497
chr12	116987337	-	LOC100506551	LOC100506551
chr12	29317848	-	LOC100506606	LOC100506606
chr5	43067022	+	LOC100506639	LOC100506639
chr11	32041318	-	LOC100506675	LOC100506675
chr7	127476882	+	LOC100506682	LOC100506682
chr5	997340	-	LOC100506688	LOC100506688
chr12	122063289	+	LOC100506691	LOC100506691
chr7	35716436	+	LOC100506725	LOC100506725
chr1	19295736	-	LOC100506730	LOC100506730
chrX	135396428	+	LOC100506790	LOC100506790
chr5	2312201	-	LOC100506858	LOC100506858
chr12	58591701	+	LOC100506869	LOC100506869
chr7	132758969	+	LOC100506937	LOC100506937
chr8	12437012	+	LOC100506990	LOC100506990
chr17	65100811	+	LOC100507002	LOC100507002
chr2	64228400	+	LOC100507006	LOC100507006
chr4	99088856	+	LOC100507053	LOC100507053
chr12	65642372	-	LOC100507065	LOC100507065
chr8	22275162	-	LOC100507071	LOC100507071
chr11	35138032	-	LOC100507144	LOC100507144
chr8	23336207	+	LOC100507156	LOC100507156
chr12	68686859	-	LOC100507250	LOC100507250
chr11	124800427	+	LOC100507283	LOC100507283
chr3	139389802	+	LOC100507291	LOC100507291
chr2	110245637	+	LOC100507334	LOC100507334
chr9	95463608	+	LOC100507346	LOC100507346
chr17	77546940	+	LOC100507351	LOC100507351
chr19	14137151	+	LOC100507373	LOC100507373
chr11	45722307	+	LOC100507384	LOC100507384
chr5	176119548	+	LOC100507387	LOC100507387
chr3	142926674	+	LOC100507389	LOC100507389
chr21	8197619	+	LOC100507412	LOC100507412
chr14	105419739	-	LOC100507437	LOC100507437
chr2	208119128	+	LOC100507443	LOC100507443
chr8	49512180	-	LOC100507464	LOC100507464
chr15	101309304	-	LOC100507472	LOC100507472
chr6	139976318	+	LOC100507477	LOC100507477
chr7	143381025	-	LOC100507507	LOC100507507
chr8	53523965	-	LOC100507516	LOC100507516
chr6	32154365	-	LOC100507547	LOC100507547
chr11	134985351	+	LOC100507548	LOC100507548
chr19	17511889	-	LOC100507551	LOC100507551
chr1	53238609	+	LOC100507564	LOC100507564
chr22	26512531	+	LOC100507599	LOC100507599
chr1	55215407	+	LOC100507634	LOC100507634
chr7	149717	+	LOC100507642	LOC100507642
chr14	18980793	-	LOC100508046	LOC100508046
chr2	94587310	+	LOC100509620	LOC100509620
chr7	102363860	+	LOC100630923	LOC100630923
chr5	151771508	-	LOC100652758	LOC100652758
chr11	117201914	-	LOC100652768	LOC100652768
chrY	22316677	+	LOC100652931	LOC100652931
chr12	53513983	+	LOC100652999	LOC100652999
chr7	57404766	+	LOC100653233	LOC100653233
chr7	112618064	+	LOC100996249	LOC100996249
chr1	117605770	-	LOC100996263	LOC100996263
chr1	121098265	-	LOC100996318	LOC100996318
chr5	612210	-	LOC100996325	LOC100996325
chr19	22608015	+	LOC100996349	LOC100996349
chr19	3155175	-	LOC100996351	LOC100996351
chr5	176062055	-	LOC100996385	LOC100996385
chr15	30523573	-	LOC100996413	LOC100996413
chr5	179859002	+	LOC100996419	LOC100996419
chr7	66654518	+	LOC100996437	LOC100996437
chr3	158571066	-	LOC100996447	LOC100996447
chr1	2566534	+	LOC100996583	LOC100996583
chr2	495812	+	LOC100996637	LOC100996637
chr9	63333337	+	LOC100996643	LOC100996643
chr14	68628787	-	LOC100996664	LOC100996664
